date/time,BIRDS_Earned,Algorand_Wallet,BirdBot_Camera,Bird_Species_Triggered,Bird_Photo,Bird_Species_Array,Number_of_Birds,latitude,longitude,Approximate_Location,Approximate_City,Duration_of_Sighting_(Seconds)
4/19/2022 6:33,0,TEST6QJ3XMYD3JM5ZTQU5NKC7R7J24KEV45JQ7O3DRZML7M3Y4YEVBEPKU,Tyler Desktop Cam,Steller's Jay,https://netorgft5486366-my.sharepoint.com/personal/tyler_chatworks_co/_layouts/15/onedrive.aspx?searchScope=folder&id=%2Fpersonal%2Ftyler_chatworks_co%2FDocuments/BirdBotPhotoDatabase/TEST6QJ3XM-Steller's Jay-06_33_50.jpg&parent=%2Fpersonal%2Ftyler_chatworks_co%2FDocuments%2FBirdBotPhotoDatabase,"[""Steller's Jay""]",1,47.21,-122.41,,,-0.271865845
4/19/2022 6:35,5,TEST6QJ3XMYD3JM5ZTQU5NKC7R7J24KEV45JQ7O3DRZML7M3Y4YEVBEPKU,Tyler Desktop Cam,Northern Flicker,https://netorgft5486366-my.sharepoint.com/personal/tyler_chatworks_co/_layouts/15/onedrive.aspx?searchScope=folder&id=%2Fpersonal%2Ftyler_chatworks_co%2FDocuments/BirdBotPhotoDatabase/TEST6QJ3XM-Northern Flicker-06_35_01.jpg&parent=%2Fpersonal%2Ftyler_chatworks_co%2FDocuments%2FBirdBotPhotoDatabase,['Northern Flicker'],2,47.21,-122.41,,,-0.215303659
4/19/2022 6:43,15,TEST6QJ3XMYD3JM5ZTQU5NKC7R7J24KEV45JQ7O3DRZML7M3Y4YEVBEPKU,Tyler Desktop Cam,House Finch - Male,https://netorgft5486366-my.sharepoint.com/personal/tyler_chatworks_co/_layouts/15/onedrive.aspx?searchScope=folder&id=%2Fpersonal%2Ftyler_chatworks_co%2FDocuments/BirdBotPhotoDatabase/TEST6QJ3XM-House Finch - Male-06_43_53.jpg&parent=%2Fpersonal%2Ftyler_chatworks_co%2FDocuments%2FBirdBotPhotoDatabase,['House Finch - Male'],1,47.21,-122.41,,,-0.21586895
4/19/2022 6:50,20,TEST6QJ3XMYD3JM5ZTQU5NKC7R7J24KEV45JQ7O3DRZML7M3Y4YEVBEPKU,Tyler Desktop Cam,Steller's Jay,https://netorgft5486366-my.sharepoint.com/personal/tyler_chatworks_co/_layouts/15/onedrive.aspx?searchScope=folder&id=%2Fpersonal%2Ftyler_chatworks_co%2FDocuments/BirdBotPhotoDatabase/TEST6QJ3XM-Steller's Jay-06_50_42.jpg&parent=%2Fpersonal%2Ftyler_chatworks_co%2FDocuments%2FBirdBotPhotoDatabase,"[""Steller's Jay""]",1,47.21,-122.41,,,-0.22682023
4/19/2022 6:55,25,TEST6QJ3XMYD3JM5ZTQU5NKC7R7J24KEV45JQ7O3DRZML7M3Y4YEVBEPKU,Tyler Desktop Cam,Chestnut-backed Chickadee,https://netorgft5486366-my.sharepoint.com/personal/tyler_chatworks_co/_layouts/15/onedrive.aspx?searchScope=folder&id=%2Fpersonal%2Ftyler_chatworks_co%2FDocuments/BirdBotPhotoDatabase/TEST6QJ3XM-Chestnut-backed Chickadee-06_55_07.jpg&parent=%2Fpersonal%2Ftyler_chatworks_co%2FDocuments%2FBirdBotPhotoDatabase,['Chestnut-backed Chickadee'],1,47.21,-122.41,,,-0.226125479
4/19/2022 7:05,30,TEST6QJ3XMYD3JM5ZTQU5NKC7R7J24KEV45JQ7O3DRZML7M3Y4YEVBEPKU,Tyler Desktop Cam,Steller's Jay,https://netorgft5486366-my.sharepoint.com/personal/tyler_chatworks_co/_layouts/15/onedrive.aspx?searchScope=folder&id=%2Fpersonal%2Ftyler_chatworks_co%2FDocuments/BirdBotPhotoDatabase/TEST6QJ3XM-Steller's Jay-07_05_13.jpg&parent=%2Fpersonal%2Ftyler_chatworks_co%2FDocuments%2FBirdBotPhotoDatabase,"[""Steller's Jay""]",1,47.21,-122.41,,,-0.218310118
4/19/2022 7:13,35,TEST6QJ3XMYD3JM5ZTQU5NKC7R7J24KEV45JQ7O3DRZML7M3Y4YEVBEPKU,Tyler Desktop Cam,Chestnut-backed Chickadee,https://netorgft5486366-my.sharepoint.com/personal/tyler_chatworks_co/_layouts/15/onedrive.aspx?searchScope=folder&id=%2Fpersonal%2Ftyler_chatworks_co%2FDocuments/BirdBotPhotoDatabase/TEST6QJ3XM-Chestnut-backed Chickadee-07_13_32.jpg&parent=%2Fpersonal%2Ftyler_chatworks_co%2FDocuments%2FBirdBotPhotoDatabase,['Chestnut-backed Chickadee'],1,47.21,-122.41,,,-0.226089239
4/19/2022 7:13,40,TEST6QJ3XMYD3JM5ZTQU5NKC7R7J24KEV45JQ7O3DRZML7M3Y4YEVBEPKU,Tyler Desktop Cam,Chestnut-backed Chickadee,https://netorgft5486366-my.sharepoint.com/personal/tyler_chatworks_co/_layouts/15/onedrive.aspx?searchScope=folder&id=%2Fpersonal%2Ftyler_chatworks_co%2FDocuments/BirdBotPhotoDatabase/TEST6QJ3XM-Chestnut-backed Chickadee-07_13_44.jpg&parent=%2Fpersonal%2Ftyler_chatworks_co%2FDocuments%2FBirdBotPhotoDatabase,['Chestnut-backed Chickadee'],1,47.21,-122.41,,,-0.304988384
4/19/2022 7:21,45,TEST6QJ3XMYD3JM5ZTQU5NKC7R7J24KEV45JQ7O3DRZML7M3Y4YEVBEPKU,Tyler Desktop Cam,Chestnut-backed Chickadee,https://netorgft5486366-my.sharepoint.com/personal/tyler_chatworks_co/_layouts/15/onedrive.aspx?searchScope=folder&id=%2Fpersonal%2Ftyler_chatworks_co%2FDocuments/BirdBotPhotoDatabase/TEST6QJ3XM-Chestnut-backed Chickadee-07_21_40.jpg&parent=%2Fpersonal%2Ftyler_chatworks_co%2FDocuments%2FBirdBotPhotoDatabase,['Chestnut-backed Chickadee'],1,47.21,-122.41,,,-0.243411064
4/19/2022 7:34,50,TEST6QJ3XMYD3JM5ZTQU5NKC7R7J24KEV45JQ7O3DRZML7M3Y4YEVBEPKU,Tyler Desktop Cam,Chestnut-backed Chickadee,https://netorgft5486366-my.sharepoint.com/personal/tyler_chatworks_co/_layouts/15/onedrive.aspx?searchScope=folder&id=%2Fpersonal%2Ftyler_chatworks_co%2FDocuments/BirdBotPhotoDatabase/TEST6QJ3XM-Chestnut-backed Chickadee-07_34_07.jpg&parent=%2Fpersonal%2Ftyler_chatworks_co%2FDocuments%2FBirdBotPhotoDatabase,['Chestnut-backed Chickadee'],1,47.21,-122.41,,,-0.245193958
4/19/2022 7:58,55,TEST6QJ3XMYD3JM5ZTQU5NKC7R7J24KEV45JQ7O3DRZML7M3Y4YEVBEPKU,Tyler Desktop Cam,Chestnut-backed Chickadee,https://netorgft5486366-my.sharepoint.com/personal/tyler_chatworks_co/_layouts/15/onedrive.aspx?searchScope=folder&id=%2Fpersonal%2Ftyler_chatworks_co%2FDocuments/BirdBotPhotoDatabase/TEST6QJ3XM-Chestnut-backed Chickadee-07_58_53.jpg&parent=%2Fpersonal%2Ftyler_chatworks_co%2FDocuments%2FBirdBotPhotoDatabase,['Chestnut-backed Chickadee'],1,47.21,-122.41,,,-0.25472784
